"character" "dialogue"
"1101" "None" "Spider-Man webs his eyes, and swings in to kick him in the face at the same time that Drax leaps from cover, blades in both hands, to knee-slide behind Thanos and try for a tendon slide across the back of the Titan's knee."
"1102" "None" "Doctor Strange jumps through a portal and summons a sword of golden energy, dueling with Thanos while Drax attacks similarly on his other side. Thanos punches Drax through a ruined wall, then shatters the blade with one hand and tears the web from his eyes. He advances on Doctor Strange and kicks at him, but Strange's shield absorbs the damage -- the Cloak lifts him free of the ground."
"1103" "None" "Star-Lord has been making his way back on the ground, and shoots Thanos from behind. Thanos uses the Power Stone to shoot balls of energy at Star-Lord while Star-Lord leaps towards Thanos using magical platforms thrown in his path by Doctor Strange, the last one placed above Thanos' head so Star-Lord can flip over him and slap a mine on Thanos' back. Star-Lord sticks his landing, he disengages his helmet, flips Thanos a bird and falls backward into a portal."
"1104" "Peter Quill" "Boom!"
"1105" "None" "The explosion knocks Thanos to his knees and dazes him briefly."
"1106" "Stephen Strange" "Do not let him close his fist."
"1107" "None" "Doctor Strange starts throwing portals everywhere. Spider-Man leaps through one on Thanos' left"
"1108" "Peter Parker" "Magic!  More magic!  Magic with a kick!  Magic with a--"
"1109" "None" "Before he can finish Thanos turns, grabbing him from the air, and throwing him to the ground, with his hand around his neck."
"1110" "Thanos" "Insect!"
"1111" "None" "He then throws him at Doctor Strange, knocking them both down. Thanos finally tears the Cloak away and is then promptly surrounded by fiery explosions as Iron Man bombards him. He sucks all the flame into the gauntlet with the Power Stone and fires it in a stream at Iron Man, hitting him dead on and sending him far away, plowing through a massive fallen machine."
"1112" "None" "Spider-Man leaps from behind, more conventionally this time, while Thanos concentrates his fire on Iron Man, webs the gauntlet and drops down in front of him, pulling hard -- but Thanos yanks on the web-line, pulling the much lighter teenager towards him, and punching him on his way past. He tears the webbing free of the gauntlet just in time for a small spaceship to attempt to crash-land on him."
"1113" "None" "The ship drags Thanos along for a distance, burying him under debris. He stands just as the pilot leaps in a great arc to punch him, landing in front of him with an energy-blade at the ready."
"1114" "Thanos" "Well, well."
"1115" "Nebula" "You should have killed me."
"1116" "Thanos" "It would've been a waste of parts!"
"1117" "Nebula" "Where's Gamora?!"
"1118" "None" "Thanos punches her away. Doctor Strange uses the Crimson Bands of Cyttorak to pinion the gauntlet, pulling Thanos' fingers open and trying to pry the gauntlet off his hand."
"1119" "None" "Thanos tries to pull free, as Drax slides in from his right, kicking his knee and knocking him off-balance, then wrapping himself around Thanos' kneeling leg."
"1120" "None" "Star-Lord shoots a electric trap onto the ground to Thanos' right, the tangle-field holding down his unarmored hand."
"1121" "None" "Spider-Man swings in, webs Thanos' chest then wraps it around behind him, digging his Iron Spider legs into the ground to anchor himself."
"1122" "None" "Doctor Strange opens a portal straight above Thanos' out of which drops Mantis, landing on the Titan's shoulders, her hands on his temples. He bellows as she tries to put him under."
"1123" "None" "Iron Man, having returned, is pulling on the gauntlet. Doctor Strange reapplies the Crimson Bands of Cyttorak to reinforce the trap's hold on Thanos' right hand, and the Cloak helps him pull. Thanos is finally subdued enough to incapacitate, not fully asleep."
"1124" "Tony Stark" "Is he under? Don't let up."
"1125" "Mantis" "Be quick. He is very strong."
"1126" "Tony Stark" "Parker, help! Get over here.  She can't hold him much longer. Let's go."
"1127" "Peter Quill" "I thought you'd be harder to catch. For the record, this was my plan. Not so strong now, huh? Where is Gamora?"
"1128" "Thanos" "My Gamora...?"
"1129" "Peter Quill" "No, bull-shit. Where is she?"
"1130" "Mantis" "He is in anguish."
"1131" "Peter Quill" "Good."
"1132" "Mantis" "He… he mourns."
"1133" "Drax" "What does this monster have to mourn?"
"1134" "Nebula" "Gamora."
"1135" "Peter Quill" "What?"
"1136" "Nebula" "He took her to Vormir. He came back with the Soul Stone... but she didn't."
"1137" "Tony Stark" "Okay, Quill, you gotta cool it right now, you understand?"
"1138" "None" "Quill slowly turns to Thanos,"
"1139" "Tony Stark" "Don't, don't, don't engage, we've almost got this off!"
"1140" "Peter Quill" "Tell me she's lying.  Asshole! Tell me you didn't do it!"
"1141" "Thanos" "I... had... to."
"1142" "Peter Quill" "No, you didn't…! No, you didn't…!  NO, YOU DIDN'T!"
"1143" "Tony Stark" "QUILL!"
"1144" "None" "Iron Man leaps for Star-Lord's arm, re-helmeting and leaving Spider-Man to pull off the gauntlet."
"1145" "Tony Stark" "Hey, stop! Hey, stop! Stop! Hey, stop! Stop!"
"1146" "Peter Parker" "It's coming! It's coming! It's coming!  I got it! I got it.... !"
"1147" "None" "Thanos wakes completely, now well and truly furious. He head-butts Mantis, grabbing the cuff of the gauntlet just as it is sliding off his hand, causing Spider-Man to stumble back, and then throwing Mantis away off his shoulders."
"1148" "Peter Parker" "Oh, God!"
"1149" "None" "Thanos kicks Drax off his right leg and into Nebula and Star-Lord, knocking them down. He yanks on the Crimson Bands holding his right hand to throw Doctor Strange far away, and swats away Iron Man and his repulsor shots. The remaining Guardians jump up and charge him again, but he fires a pulse of indigo energy at them that knocks the three of them completely unconscious."
"1150" "None" "Iron Man zooms back in, his nanite arm cannon manifested, and is head-butted to the ground. Thanos looks at him for a beat, then raises the gauntlet towards Titan's moon. Iron Man stares, aghast. Thanos uses a combination of the Power and Space Stones to shatter the moon's surface, then bring the debris down on the field of battle at speed. Iron Man powers out of the way but is caught by a chunk of moon about the size of a baseball field, slamming him into the ground. The Guardians go sailing into the air from the rebound."
"1151" "None" "Back in Wakanda, Shuri is working steadily to complete the Mind Stone's removal; Wanda stands by tensely"
"1152" "None" "The Kingsguard, Borderers and Jabari have little success going against Cull Obsidian's chained hammer -- he either sends them flying or punches them into the ground. The Black Panther gets free of his other sorties, leaps and uses all his collected kinetic energy behind a punch that lays Obsidian flat."
"1153" "Rocket" "Come and get some, space dogs!  Come on, get some, get some! Come on, get some!  How much for the gun?"
"1154" "Bucky Barnes" "Not for sale."
"1155" "Rocket" "Okay, how much for the arm?  Oh, I'll get that arm."
"1156" "None" "The tides of battle cause Thor, using Stormbreaker to great effect, and Captain America together. They take a breather."
"1157" "Steve Rogers" "New haircut?"
"1158" "Thor" "Notice you've copied my beard."
"1159" "None" "Captain America nods, wearily gesturing at his own face with a shield-covered hand. Groot skewers three Outriders with his right arm."
"1160" "Thor" "By the way, this is a friend of mine. Tree."
"1161" "Groot" "I AM GROOT!"
"1162" "Steve Rogers" "I am Steve Rogers."
"1163" "None" "In Shuri's lab, a deep rumbling can be heard even at their height. Wanda looks down on the battlefield, and sees movement through the blazing forest between the troopships and the dome. When the disturbance reaches the edge of the trees, it turns into vast moving mounds of earth that easily bypass the force field and emerge -- Threshers, sets of massive, motorized spiked wheels, intended for nothing more than shredding everything in their paths."
"1164" "T'Challa" "Fall back! Fall back now!"
"1165" "None" "Wanda watches as at least one set of Threshers separates into individual wheels and starts veering all over the battlefield, and then looks anxiously back at Vision"
"1166" "James Rhodes" "Focus that fire on the left flank, Sam."
"1167" "Sam Wilson" "I'm doing it."
"1168" "None" "Black Widow with her escrima sticks and Okoye with her augmented spear have drifted together when they're suddenly in the path of a Thresher. Both women cringe at their seemingly inevitable shredding when the Scarlet Witch lands in front of both of them, eyes glowing red, lifting the whole Thresher well clear of the ground. Looking behind her, the friendly forces have scattered and replaced by a charging mob of Outriders -- the perfect place to throw a Thresher. Black Widow straightens with a pleased smile, Okoye with an amazed look."
"1169" "Okoye" "Why was she up there all this time?"
"1170" "None" "The Children of Thanos help answer that question."
"1171" "Proxima Midnight" "She's on the field. Take it."
"1172" "None" "Corvus Glaive kills one of the guards just outside the lab, alerting Shuri to the problem. She starts hastily disconnecting her equipment from Vision's systems; he gasps at the sensations. The Dora Milaje engages Glaive but is sent skidding across the floor. Shuri finishes her shutdown, grabs one of her sonic panther-paws and fires at Glaive. The Dora attacks again, and Glaive sends both her and Shuri through the balcony railing and onto the main lab floor."
"1173" "None" "Vision is not where Corvus Glaive expects to find him. Vision is, in fact, charging at him and knocking him out the window to fall many meters down the face of Mount Bashenga."
"1174" "Sam Wilson" "Guys, we got a Vision situation here."
"1175" "Steve Rogers" "Somebody get to Vision!"
"1176" "Bruce Banner" "I got him!"
"1177" "Wanda Maximoff" "On my way."
"1178" "Proxima Midnight" "He'll die alone. As will you."
"1179" "Natasha Romanoff" "She's not alone."
"1180" "None" "Okoye silently brandishes her spear on the other side of Proxima and nods at Black Widow."
"1181" "Proxima Midnight" "Euuyaaah!"
"1182" "None" "Corvus Glaive kicks Vision, knocking him down; as he attempts to rise again, Cull Obsidian shows up and swings his hammer in a full arc, throwing Vision even further. He painfully starts to climb to his feet again when a whooshing overhead interrupts the fight as Bruce Banner lands the Hulkbuster between the aliens and the android. He takes a defensive stance, pointing one hand's repulsor at each."
"1183" "Bruce Banner" "Oh no, oh no you don't. This isn't going to be like New York, pal. This suit's already kicked the crap out of the Hulk--"
"1184" "Bruce Banner" "Guys! Vision needs backup now!   Hulk. Hulk, I know you like making your entrance at the last second, well, this is it, man. This is the last, last second.  Ahhhhh! Hulk! Hulk! HULK!"
"1185" "Hulk" "NOOOO!!!"
"1186" "Bruce Banner" "Oh, screw you, ya big green asshole! I'll do it myself!  Come on!"
"1187" "None" "He charges the alien, jumps into the air and delivers an effective punch with his remaining hand -- swat, punch, hammer -- except that blow is caught by Obsidian, who punches back, knocking Bruce flat. Obsidian changes his left hand armor into a pointed weapon, and lunges forward to deliver a likely fatal blow, when Bruce grabs the detached Hulkbuster arm out of the water, holding it so Obsidian impales that instead, and slaps the controls."
"1188" "Bruce Banner" "See you later, Alligator!  Hulk, we got a lot to figure out, pal."
"1189" "None" "Proxima Midnight alternates heavy blows between her two opponents, but all three of them duck as a single-wheel Thresher tears overhead, the ditch sparing them most of the danger from the wheel-blades. Proxima uses the distraction to kick Black Widow in the face, sending her to the ground. She then grabs Okoye by the shoulder and weapon and throws her meters away."
"1190" "None" "Simultaneously, Corvus Glaive and Vision struggle in the forest at the foot of Mount Bashenga. Glaive grasps Vision's shoulder and uses the leverage to plunge his blade once more into the android's chest."
"1191" "Corvus Glaive" "I thought you were formidable, machine. But you're dying, like any man."
"1192" "Steve Rogers" "Get outta here!  GO!"
"1193" "None" "Black Widow splits her staff back into a pair of sticks to block Proxima Midnight's sword blows, and finally knocks it from her hand. The alien takes to her bare fists instead, knocks down and pins the Black Widow. Proxima triggers an arm-blade from her left-arm armor, and stabs at Black Widow, who barely manages to block the blade with her crossed sticks. As the edge starts to dig into Black Widow's neck anyway, scarlet energy grabs the alien and tosses her into the air right into the path of another passing Thresher. Dark blue blood spatters the women below. The Scarlet Witch sits up, sighing with relief, her hands still shimmering."
"1194" "Natasha Romanoff" "That was really gross."
"1195" "None" "Captain America keeps blocking Corvus Glaive's staff weapon using his shields, finally knocking it from the alien's hands just before he's thrown over a fallen tree and pinned, Glaive's hand at his throat. Even with his physical abilities, Captain America's struggling -- until a glaive-blade pierces Glaive's chest, and is pushed all the way through. Vision raises his enemy in a perfect mirror of the first attack on him, and holds him for a moment, before dropping Glaive's corpse to one side and collapsing exhaustively."
"1196" "Steve Rogers" "I thought I told you to go."
"1197" "Vision" "We don't trade lives, Captain."
"1198" "None" "The remaining Guardians and Avengers are dealing with the gravitic aftermath of dumping a large chunk of moon onto an unstable planet's surface. The unconscious Guardians are flying upwards uncontrollably, moon-chunks are still making fiery ballistic in-bounds, and random debris and massive rocks are floating in any possible direction. Spider-Man is well-equipped to handle this physically, even if he's freaking out emotionally."
"1199" "Peter Parker" "I got you! I got you!  I'm sorry I can't remember anybody's names!"
"1200" "None" "The Cloak of Levitation sets Doctor Strange down on a relatively stable outcrop as Thanos extricates himself from rubble. The Sorcerer Supreme makes a few passes with his hands, producing the familiar golden magic filigree circles, and slams his hands down on the rock before him, invoking the Seven Suns of Cinnibus as a lightning-like effect of immense heat jumping from rock to rock until it reaches Thanos, sending him flying -- but he makes use of the erratic gravity to keep control and fire back a blast from the Power Stone."
"1201" "None" "Doctor Strange blocks the purple plume with a wall of Mirror Dimension, which he then pushes back at Thanos. It shatters around the Titan, who suctions the magic into a miniature black hole with the Space Stone, volleying it back at Doctor Strange. Just in time, Doctor Strange raises a shield and changes the dark energy into a swarm of aqua butterflies which return to their master."
"1202" "None" "Before Thanos can counterattack again, Doctor Strange levitates and invokes the Images of Ikonn, giving him arms like a Hindu deity before dozens of Strange replications rush away, forming a circular wall around a snarling Thanos. They call cast magical cords, wrapping around Thanos' torso, arms and hands; he struggles to close his gauntleted fist, and uses the Soul and Power Stones to discover the real Doctor Strange among the many copies, blowing the duplicates away and sending the singular Doctor Strange reeling. Reality and Space pull Doctor Strange forward, Thanos grasping him by the throat once in range. Doctor Strange grabs futilely at Thanos' hand."
"1203" "Thanos" "You're full of tricks, wizard."
"1204" "Stephen Strange" "No!"
"1205" "Thanos" "Yet you never once used your greatest weapon.  A fake."
"1206" "None" "Almost simultaneously, a red and gold device slaps into the palm of the Infinity Gauntlet, bracing the fingers open; and a red and gold Avenger makes a fast and hard entrance."
"1207" "Tony Stark" "You throw another moon at me, and I'm gonna lose it."
"1208" "Thanos" "Stark."
"1209" "Tony Stark" "You know me?"
"1210" "Thanos" "I do. You're not the only one cursed with knowledge."
"1211" "Tony Stark" "My only curse is you."
"1212" "Thanos" "Come on!"
"1213" "None" "The rockets all explode on target, momentarily shrouding Thanos in smoke. Before it clears, Iron Man pile drives into Thanos horizontally, using his single super-jet boot configuration. As he bounces off, he flips and sticks his landing, immediately re-configuring his boots into ground clamps for stability and his gloves into rocket-driven battering rams, punching Thanos into a ruined wall behind him."
"1214" "None" "Thanos shakes it off quickly, reaches forward and tears Iron Man's helmet off, revealing Tony's surprised expression before the suit recovers automatically and re-forms his head protection. The Titan makes use of the fractional delay and punches back hard, sending Iron Man sliding meters away, giving Thanos time to rip the brace device off the gauntlet. He immediately uses the Power Stone to stream furiously lambent energy at his opponent, who forms a shield to kneel behind just as instantly, getting pushed back even further by the incredible force."
"1215" "None" "Iron Man slides out from behind the shield, letting the angled energy push him away for a faster start, and whips back to Thanos full thrusters; he kicks at the Titan with his left foot, turning the boot into a ground clamp at the same time to pin the gauntlet, and keeps twisting while his left glove becomes a ram again, slamming into Thanos' face, cutting his cheek."
"1216" "Thanos" "All that for a drop of blood."
"1217" "None" "He smiles briefly before punching Iron Man, sending him pinwheeling, then starts beating him with his fists. Iron Man attempts to block the blows with his forearms, but Thanos is relentless, picking him up by the helmet and blasting his midsection with the Power Stone. The gaps in nanite coverage are now gaping, as the armor loses the ability to recover from the intensity and extent of the damage. Iron Man lands hard from the Power blast, struggles to one knee and fires his right hand repulsor at the inexorable Thanos; the beam is easily deflected by the gauntlet. He gets to both feet as the suit tries to complete repairs, adding the beam from his left hand as well. Thanos walks right up to him, and backhands the incomplete helmet completely off Tony's head. He crosses his arms to block a blow from Thanos' gauntlet, and has his left hand caught over his head. In desperation, he forms what's left of his right glove into a short-sword, which is also easily caught by Thanos, snapping it off clean and driving it through Tony's left side. The fight is over."
"1218" "None" "Thanos walks Tony back until he sits, and places the gauntlet almost comfortingly on Tony's head."
"1219" "Thanos" "You have my respect, Stark. When I'm done, half of humanity will still be alive.  I hope they remember you."
"1220" "None" "Tony's just a little distracted with the pain, and blood drooling out of his mouth, and compromised breathing."
"1221" "None" "Thanos raises the gauntlet, closing his fist, all four Stones glowing"
"1222" "Stephen Strange" "Stop!  Spare his life... and I will give you the stone."
"1223" "Thanos" "No tricks."
"1224" "Tony Stark" "Don't...!"
"1225" "None" "Doctor Strange reaches up and plucks the Time Stone out of its hiding place in the stars. He opens his hand, the scars on his fingers and their inherent trembling particularly obvious now, and the Stone floats to Thanos' bare hand. Doctor Strange watches him intently, as he takes the Stone and drops it into the thumb setting, the energy pulse making the Titan wince."
"1226" "Thanos" "One to go."
"1227" "Peter Quill" ""
"1228" "None" "Thanos doesn't even bother responding to the assault -- he just leaves. Star-Lord flies through where Thanos had been and crashes, rolling several times"
"1229" "Peter Quill" "Where is he?!"
"1230" "None" "Tony stitches up his stab wound as well as he can with his suit functions; he has no breath for answers."
"1231" "Peter Quill" "Did we just lose?"
"1232" "Tony Stark" "Why would you do that?"
"1233" "Stephen Strange" "We're in the Endgame now."
"1234" "None" "M'Baka bashes another Outrider -- the ground game has improved considerably with the addition of the God of Thunder. His tribesmen are equally successful around him."
"1235" "M'Baku" "MAYEFA!"
"1236" "Jabari Warriors" "YA HU HU!"
"1237" "None" "Thor is in the air, using Stormbringer on the Outrider drop ships which are now retreating. He is having considerably more success than the Wakandan Dragon fliers firing on the fleeing ships."
"1238" "Wanda Maximoff" "Are you okay?  What? What is it?"
"1239" "Vision" "He's here."
"1240" "None" "The wind picks up. It feels... strange. Eerie."
"1241" "Steve Rogers" "Everyone, on my position. We have incoming."
"1242" "Natasha Romanoff" "What the hell?"
"1243" "Bruce Banner" "Cap. That's him."
"1244" "Steve Rogers" "Eyes up. Stay sharp."
"1245" "None" "Bruce reaches Thanos first, lunging forward fist-first -- but Thanos uses the Space Stone on him, renders him immaterial until the Hulkbuster is half-buried in the stone of the cliff behind him, and freezes Bruce in place."
"1246" "None" "Captain America is sent flying by purple energy before he even gets to strike a single blow."
"1247" "None" "The Black Panther, armor fully charged kinetically, leaps high and with claws extended, but is easily grabbed by the throat and punched to the ground, his armor discharging violently."
"1248" "None" "Falcon stoops, strafing with both Steyr pistols, but is felled when his wings become rubbery and unable to sustain flight."
"1249" "Vision" "Wanda. It's time."
"1250" "Wanda Maximoff" "No."
"1251" "Vision" "They can't stop him, Wanda, but we can. Look at me. You have the power to destroy the stone."
"1252" "Wanda Maximoff" "Don't."
"1253" "Vision" "You must do it. Wanda, please. We. Are. Out of time."
"1254" "Wanda Maximoff" "I can't."
"1255" "Vision" "Yes, you can. You can. If he gets the stone, half the universe dies."
"1256" "Wanda Maximoff" "I-"
"1257" "Vision" "It's not fair. It shouldn't be you, but it is."
"1258" "Vision" "It's all right. You could never hurt me...."
"1259" "Vision" "I just...feel you."
"1260" "None" "The following action is mostly muted. War Machine joins the fight, firing his guns at Thanos until he uses the gauntlet to crush his armor around him and toss him aside."
"1261" "None" "The Winter Soldier runs in firing, and is punched away by the Power Stone."
"1262" "None" "Okoye activates the Vibranium-powered elements on her spear and flings it; Power stops it inches from Thanos, and throws her and it aside while wrapping the Black Widow in inescapable bands of earth."
"1263" "None" "Groot stabs his hands into the ground to wrap Thanos in cables of roots, which he breaks easily."
"1264" "None" "The Scarlet Witch watches all this over one shoulder, and turns back to Vision to add her left hand to her tearful effort."
"1265" "None" "Captain America slides under one blow and comes up swinging his deployed arm-shields, punching Thanos in the gut and chin. He grabs the gauntlet, keeping Thanos' fingers un-clenched. Thanos looks very briefly impressed at Captain America's efforts as he screams before slamming a fist into his head and rendering him insensible."
"1266" "None" "The Scarlet Witch looks over her shoulder again and sees Thanos approaching unopposed. She swings her left hand around to fend him off with a stream of scarlet energy, and pushes him back despite his blue-purple energy shield, but then he starts to make slow headway."
"1267" "Vision" "It's all right. It's all right. I love you."
"1268" "None" "At those words, the yellow Mind Stone finally starts to crack. Vision's face is overcome by an expression of joyful peace, and as the crystal fragments completely, a pulse of pure yellow energy explodes from him, shuddering the trees for many meters around his epicenter. Wanda's and Thanos' energy subsides."
"1269" "Thanos" "I understand, my child. Better than anyone."
"1270" "Wanda Maximoff" "You could never..."
"1271" "Thanos" "Today, I lost more than you can know. But now is no time to mourn. Now... is no time at all."
"1272" "Wanda Maximoff" "NO!"
"1273" "None" "Thanos picks up Vision by the throat, lifting him to eye-level, and digs the fingers of his right hand into Vision's forehead, digging out the Mind Stone. He pulls it loose, and Vision goes limp and colorless; he tosses the lifeless android aside like trash. Bringing his gauntleted hand up, he slowly moves the Mind Stone over the last empty setting, and drops it in. The energy surge is much more than any previous -- his torso is wreathed with iridescent static and he bellows from the sensations."
"1274" "None" "As Thanos studies the completed gauntlet, a massive bolt of lighting strikes him, digging him into the ground and grinding him back for meters. Thor has arrived, eyes glowing with power, stooping down from the sky like a bird of prey. The God of Thunder pauses his attack, reverses his position, raises Stormbreaker above his head and hurls it -- Thanos fires the whole might of the gauntlet against it, but it only creates a rainbow-like bow-shock, not slowing the ax as it slams right into Thanos' chest."
"1275" "Thor" "I told you. You'd die for that!"
"1276" "None" "He takes hold of the back of Thanos' head and forces Stormbreaker deeper into his chest, staring angrily into his eyes while Thanos cries out in pain"
"1277" "Thanos" "You should have... you...  You should have gone for the head!"
"1278" "None" "He raises his gauntlet and snaps his fingers."
"1279" "Thor" "NO!"
"1280" "None" "The scene whites out. It cuts sharply to a view of Thanos his hand on his chest, no wounds visible. Thanos now seems to be inside the Soul Stone, where he sees a child and the pavilion from the home world of the Zen-Whoberi."
"1281" "Thanos" "Daughter?"
"1282" "None" "The child turns around, revealing herself to be Young Gamora."
"1283" "Gamora" "Did you do it?"
"1284" "Thanos" "Yes."
"1285" "None" "He looks down."
"1286" "Gamora" "What did it cost?"
"1287" "Thanos" "Everything."
"1288" "None" "Now out of the Soul World, Thanos is snapped back to reality, and notices the damage inflicted on the gauntlet -- the metal scorched and distorted from heat, the stones no longer glowing."
"1289" "Thor" "What'd you do?"
"1290" "Thor" "WHAT DID YOU DO?!"
"1291" "None" "Thanos nearly seems to not notice Thor before he uses the Space Stone and teleports away, leaving Stormbreaker behind on Wakandan ground."
"1292" "Steve Rogers" "Where'd he go? Thor... where'd he go?"
"1293" "Bucky Barnes" "Steve?"
"1294" "None" "Bucky suddenly stumbles over, drops his gun and collapses into ashes, much to Steve's shock; he walks over and touches the ground where Bucky's ashes evaporated disbelievingly."
"1295" "None" "On the battlefield, Wakandan soldiers disintegrate to ashes, much to M'Baku's horror."
"1296" "T'Challa" "Up, General. Up! This is no place to die."
"1297" "Okoye" "Kumkani?!"
"1298" "Groot" "I am Groot..."
"1299" "None" "off-screen Okoye repeats herself"
"1300" "Rocket" "No... no. No. No. No! Groot, no..."
"1301" "None" "Wanda is mourning over Vision. She then turns into ashes. An injured Sam turns to ashes, hidden in the undergrowth."
"1302" "James Rhodes" "Sam?  Sam, where you at?!"
"1303" "None" "On Titan, the remaining members of the Guardians and Avengers collect themselves -- Mantis props up Star-Lord, Spider-Man helps Tony to his feet, Drax and Nebula manage to limp over on their own."
"1304" "Mantis" "Something's happening."
"1305" "None" "Quill looks behind him as he sees Drax disintegrate"
"1306" "Drax" "Quill?"
"1307" "None" "Quill stares in horror as he turns back to Stark."
"1308" "Tony Stark" "Steady, Quill."
"1309" "Peter Quill" "Aw, man."
"1310" "Stephen Strange" "Tony, there was no other way."
"1311" "Peter Parker" "Mr. Stark?  I don't feel so good..."
"1312" "Tony Stark" "You're all right?"
"1313" "Peter Parker" "I don't know what's -- I don't know what's happening. I don't--  I don't wanna go, I don't wanna go, Mr. Stark, please. Please, I don't wanna go. I don't wanna go...  I'm sorry."
"1314" "None" "Tony falls forward from the lack of weight in his arms, before staring at his hands in disbelief."
"1315" "Nebula" "He did it."
"1316" "None" "Stark mourns silently at their failure. Back on Wakanda, the remaining team members, Captain America, Thor, War Machine, Black Widow, Bruce Banner, and Rocket are left mourning near Vision's dead body. Captain America turns over Vision's bleached corpse as Black Widow runs up to the other survivors."
"1317" "James Rhodes" "What is this? What the hell is happening?"
"1318" "Steve Rogers" "Oh, God."
"1319" "None" "Meanwhile, in a different place, in a rustic house on a terraced slope with a scarecrow made of discarded armor, Thanos sits down and watches the sun rise."
"1320" "None" "In the mid-credits scene, nothing is shown. But 2 voices are heard."
"1321" "Nick Fury" "Still no word from Stark?"
"1322" "Maria Hill" "No, not yet. We're watching every satellite in both hemispheres, there's still nothing."
"1323" "None" "The screen now shows Nick Fury and Maria Hill on Earth, driving in a car."
"1324" "Nick Fury" "What is it?"
"1325" "Maria Hill" "Multiple bogeys over Wakanda."
"1326" "Nick Fury" "Same energy signatures as New York?"
"1327" "Maria Hill" "Ten times bigger."
"1328" "Nick Fury" "Tell Klein. We'll meet him at- -"
"1329" "Maria Hill" "Nick, Nick!"
"1330" "Nick Fury" "They okay?"
"1331" "None" "Behind their vehicle, a motorcycle lies in the middle of the street with a concerned citizen approaching it."
"1332" "Maria Hill" "There's no one here."
"1333" "None" "They hear helicopter rotor sounds from the direction they'd come, but it sounds wrong -- a Leonardo executive helicopter, tail rotor smoking from damage already, appears and crashes nose-first into a building. Screaming intensifies. The two are now witnessing civilians around them suddenly disintegrating."
"1334" "Nick Fury" "Call Control. Code Red."
"1335" "Maria Hill" "Nick?"
"1336" "None" "Fury turns around to see Hill disintegrating."
"1337" "Nick Fury" "Hill?"
"1338" "None" "Fury then races back to their car and gets a what appears to be an old pager with extra gear attached out of his bag on the back seat. He sends out an emergency alert, mere seconds before his hand turns into ashes."
"1339" "Nick Fury" "Oh, no..."
"1340" "Nick Fury" "Motherf..."
"1341" "None" "Before he could finish the line, Fury corrodes to dust. The pager falls to the ground, red lights blinking on the additions; the camera zooms in and we see the device display SENDING... then display a red-blue-and-gold star insignia -- the symbol of Captain Marvel.] [Cut to black."
